Accesibilidad,Opciones de servicio,Qué ofrece,Opciones del local,Servicios,Ambiente,Público usual,Planificación,Pagos,Menores,Estacionamiento,Nombre,Latitud,Longitud
N/A,"Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Buenos cócteles","Alcohol, Aperitivos, Cerveza, Cócteles, Vino","Almuerzo, Cena","Sanitario, Tiene bar","Agradable, Informal",Grupos,Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",N/A,"Estacionamiento pagado en la calle, Mascotas, Se admiten perros en el interior, Se permiten perros",La Pata Gorda Av. Isabel la Católica,-0.2098603,-78.488586
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Entrega a domicilio, Para llevar, Consumo en el lugar","Alcohol, Aperitivos, Bebidas fuertes, Cerveza, Cócteles, Vino","Almuerzo, Cena, Postres, Espacio con asientos","Sanitario, Tiene bar","Agradable, Informal",Grupos,Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito","Ideal para ir con niños, Sillas altas","Estacionamiento gratuito, Estacionamiento gratuito en la calle, Estacionamiento pagado en la calle",Alitas Benditas,-0.2081595,-78.4863681
"Bucle magnético de asistencia, Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas, Información proporcionada por la empresa, Se identifica como mujer empresaria","Retiros en la puerta, Entrega sin contacto, Entrega a domicilio, Pedidos desde el automóvil, Para llevar, Consumo en el lugar, Aspectos destacados, Buenos cócteles, Deportes, Música en vivo","Alcohol, Aperitivos, Bebidas en hora feliz, Bebidas fuertes, Café, Cerveza, Cócteles, Opciones veganas, Platos orgánicos, Platos vegetarianos, Vino","Desayunos, Desayuno-almuerzo, Almuerzo, Cena, Servicio de catering, Servicio en el mostrador, Postres, Espacio con asientos","Sanitario, Sanitarios unisex, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis",Agradable,"Amigable con LGBTQ+, Espacio seguro para personas transgénero, Grupos, Recomendable para ir en familia",Se aceptan reservas,"Cheques, Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito","Ideal para ir con niños, Menú para niños, Sillas altas","Hay suficiente espacio, Estacionamiento pagado, Mascotas, Se admiten perros en el interior, Se permiten perros, Se permiten perros afuera",K Cocina Fusión by khuyay,-0.2081595,-78.4863681
"Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas","Entrega a domicilio, Para llevar, Consumo en el lugar","Aperitivos, Comidas durante la madrugada",Cena,Sanitario,"Agradable, Informal",Grupos,N/A,Solo dinero en efectivo,Ideal para ir con niños,"Es un poco difícil encontrar espacio, Estacionamiento gratuito, Estacionamiento gratuito en la calle",Fast Food El Perro Vago,-0.2081595,-78.4863681
"Bucle magnético de asistencia, Entrada accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas","Retiros en la puerta, Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Deportes","Alcohol, Aperitivos, Barra de ensaladas, Bebidas en hora feliz, Bebidas fuertes, Café, Cerveza, Cócteles, Comida, Comida en el bar, Comidas en hora feliz, Lugar para bailar, Vino","Desayunos, Desayuno-almuerzo, Almuerzo, Cena, Servicio de catering, Postres, Espacio con asientos","Sanitario, Sanitarios unisex, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis","Agradable, Informal","Amigable con LGBTQ+, Espacio seguro para personas transgénero, Grupos, Recomendable para ir en familia","Se requieren reservas, Se aceptan reservas","Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito","Ideal para ir con niños, Sillas altas","Hay suficiente espacio, Estacionamiento gratuito, Estacionamiento gratuito en la calle, Estacionamiento pagado en la calle",TORREMOLINOS and TQ MANABI - Bar & Restaurante,-0.2081595,-78.4863681
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Entrega sin contacto, Entrega a domicilio, Para llevar, Consumo en el lugar","Alcohol, Aperitivos, Bebidas fuertes, Café, Cerveza, Cócteles, Comidas durante la madrugada, Opciones veganas, Platos vegetarianos, Vino","Almuerzo, Cena, Servicio de catering, Postres, Espacio con asientos","Sanitario, Tiene bar",Agradable,Grupos,Se aceptan reservas,"Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito","Ideal para ir con niños, Sillas altas","Hay suficiente espacio, Estacionamiento gratuito, Estacionamiento gratuito en la calle",La Briciola,-0.2085975,-78.4906166
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Asientos al aire libre, Consumo en el lugar, Entrega a domicilio, Aspectos destacados, Asientos en la terraza, Buenos cócteles, Deportes","Alcohol, Aperitivos, Barra de ensaladas, Bebidas fuertes, Café, Cerveza, Cócteles, Comidas durante la madrugada, Platos vegetarianos, Vino","Almuerzo, Cena, Postres, Espacio con asientos","Sanitario, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis",Agradable,Grupos,Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito","Menú para niños, Sillas altas","Es un poco difícil encontrar espacio, Estacionamiento gratuito en la calle, Estacionamiento pagado, Estacionamiento pagado en la calle, Servicio de estacionamiento",Tributo Restaurante,-0.2085975,-78.4906166
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Entrega sin contacto, Entrega a domicilio, Para llevar, Consumo en el lugar","Alcohol, Aperitivos, Bebidas fuertes, Café, Cerveza, Cócteles, Comidas durante la madrugada, Opciones veganas, Platos vegetarianos, Vino","Almuerzo, Cena, Servicio de catering, Postres, Espacio con asientos","Sanitario, Tiene bar",Agradable,Grupos,Se aceptan reservas,"Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito","Ideal para ir con niños, Sillas altas","Hay suficiente espacio, Estacionamiento gratuito, Estacionamiento gratuito en la calle",La Briciola,-0.2085975,-78.4906166
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Estacionamiento accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Asientos al aire libre, Entrega a domicilio, Para llevar, Consumo en el lugar","Alcohol, Aperitivos, Bebidas fuertes, Café, Cerveza, Cócteles, Comidas durante la madrugada, Vino","Almuerzo, Cena, Servicio de catering, Postres, Espacio con asientos","Sanitario, Tiene bar",Agradable,Grupos,Se aceptan reservas,Tarjetas de crédito,N/A,"Hay suficiente espacio, Estacionamiento gratuito, Estacionamiento pagado en la calle",Pavarotti,-0.2085975,-78.4906166
"Entrada accesible para personas en silla de ruedas, Espacio accesible para personas en silla de ruedas, Sanitarios accesibles para personas en silla de ruedas","Entrega sin contacto, Entrega a domicilio, Para llevar, Consumo en el lugar, Aspectos destacados, Asientos en la terraza","Alcohol, Aperitivos, Bebidas fuertes, Café, Cerveza, Cócteles, Vino","Almuerzo, Cena, Postres, Espacio con asientos","Sanitario, Tiene bar",Agradable,"Grupos, Recomendable para ir en familia",Se aceptan reservas,"Pagos con dispositivos móviles mediante NFC, Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",Sillas altas,"Hay suficiente espacio, Estacionamiento gratuito, Estacionamiento pagado en la calle, Mascotas, Se permiten perros afuera",La Gloria,-0.2085975,-78.4906166
N/A,"Consumo en el lugar, Aspectos destacados, Música en vivo","Alcohol, Aperitivos, Bebidas fuertes, Café, Cerveza, Cócteles, Platos vegetarianos, Vino","Desayunos, Desayuno-almuerzo, Almuerzo, Cena, Servicio de catering, Postres","Sanitario, Tiene bar, Wi-Fi, Tiene Wi-Fi gratis",Agradable,Grupos,"Se requieren reservas, Se aceptan reservas","Tarjetas de crédito, Tarjetas de débito, Tarjetas de crédito",N/A,N/A,Portum,-0.2085975,-78.4906166
